Area Code (M49);Area;Element Code;Element;Year;Unit;Value
8;Albania;5532;Producer Price (USD/tonne);2022;USD;3180.3
51;Armenia;5532;Producer Price (USD/tonne);2022;USD;6208.2
51;Armenia;5532;Producer Price (USD/tonne);2022;USD;1059.6
36;Australia;5532;Producer Price (USD/tonne);2022;USD;1615.9
40;Austria;5532;Producer Price (USD/tonne);2022;USD;3032.8
40;Austria;5532;Producer Price (USD/tonne);2022;USD;1071
31;Azerbaijan;5532;Producer Price (USD/tonne);2022;USD;2564.7
112;Belarus;5532;Producer Price (USD/tonne);2022;USD;1020.5
56;Belgium;5532;Producer Price (USD/tonne);2022;USD;1284.8
70;Bosnia and Herzegovina;5532;Producer Price (USD/tonne);2022;USD;1217.1
96;Brunei Darussalam;5532;Producer Price (USD/tonne);2022;USD;3567.7
100;Bulgaria;5532;Producer Price (USD/tonne);2022;USD;1225.6
854;Burkina Faso;5532;Producer Price (USD/tonne);2022;USD;4150.6
132;Cabo Verde;5532;Producer Price (USD/tonne);2022;USD;5509.1
124;Canada;5532;Producer Price (USD/tonne);2022;USD;2112.9
344;China;5532;Producer Price (USD/tonne);2022;USD;7062.6
156;China;5532;Producer Price (USD/tonne);2022;USD;2830.9
170;Colombia;5532;Producer Price (USD/tonne);2022;USD;3465.3
191;Croatia;5532;Producer Price (USD/tonne);2022;USD;1234.5
196;Cyprus;5532;Producer Price (USD/tonne);2022;USD;2568.5
203;Czechia;5532;Producer Price (USD/tonne);2022;USD;1168.4
208;Denmark;5532;Producer Price (USD/tonne);2022;USD;1762.5
208;Denmark;5532;Producer Price (USD/tonne);2022;USD;1061.7
214;Dominican Republic;5532;Producer Price (USD/tonne);2022;USD;1739
218;Ecuador;5532;Producer Price (USD/tonne);2022;USD;1800.2
818;Egypt;5532;Producer Price (USD/tonne);2022;USD;2508.2
233;Estonia;5532;Producer Price (USD/tonne);2022;USD;1549.3
242;Fiji;5532;Producer Price (USD/tonne);2022;USD;4542.5
242;Fiji;5532;Producer Price (USD/tonne);2022;USD;3179.8
246;Finland;5532;Producer Price (USD/tonne);2022;USD;1779.7
268;Georgia;5532;Producer Price (USD/tonne);2022;USD;2546.5
276;Germany;5532;Producer Price (USD/tonne);2022;USD;1786
276;Germany;5532;Producer Price (USD/tonne);2022;USD;1321.6
300;Greece;5532;Producer Price (USD/tonne);2022;USD;1660.8
308;Grenada;5532;Producer Price (USD/tonne);2022;USD;4486.9
324;Guinea;5532;Producer Price (USD/tonne);2022;USD;3968.2
348;Hungary;5532;Producer Price (USD/tonne);2022;USD;1160.1
352;Iceland;5532;Producer Price (USD/tonne);2022;USD;3577.4
360;Indonesia;5532;Producer Price (USD/tonne);2022;USD;2204.2
376;Israel;5532;Producer Price (USD/tonne);2022;USD;2594.6
380;Italy;5532;Producer Price (USD/tonne);2022;USD;1956.5
388;Jamaica;5532;Producer Price (USD/tonne);2022;USD;2155.4
392;Japan;5532;Producer Price (USD/tonne);2022;USD;1477.6
398;Kazakhstan;5532;Producer Price (USD/tonne);2022;USD;1456.9
417;Kyrgyzstan;5532;Producer Price (USD/tonne);2022;USD;1880.4
428;Latvia;5532;Producer Price (USD/tonne);2022;USD;2525.2
428;Latvia;5532;Producer Price (USD/tonne);2022;USD;1767
440;Lithuania;5532;Producer Price (USD/tonne);2022;USD;1315.9
442;Luxembourg;5532;Producer Price (USD/tonne);2022;USD;3922.6
442;Luxembourg;5532;Producer Price (USD/tonne);2022;USD;2942
458;Malaysia;5532;Producer Price (USD/tonne);2022;USD;1420.1
470;Malta;5532;Producer Price (USD/tonne);2022;USD;2255.8
480;Mauritius;5532;Producer Price (USD/tonne);2022;USD;2236.2
484;Mexico;5532;Producer Price (USD/tonne);2022;USD;1846.3
484;Mexico;5532;Producer Price (USD/tonne);2022;USD;1314.8
496;Mongolia;5532;Producer Price (USD/tonne);2022;USD;3562.6
508;Mozambique;5532;Producer Price (USD/tonne);2022;USD;3002.3
524;Nepal;5532;Producer Price (USD/tonne);2022;USD;2268.4
528;Netherlands (Kingdom of the);5532;Producer Price (USD/tonne);2022;USD;1210.6
540;New Caledonia;5532;Producer Price (USD/tonne);2022;USD;7319.3
554;New Zealand;5532;Producer Price (USD/tonne);2022;USD;1251
562;Niger;5532;Producer Price (USD/tonne);2022;USD;3352.1
807;North Macedonia;5532;Producer Price (USD/tonne);2022;USD;717.1
578;Norway;5532;Producer Price (USD/tonne);2022;USD;2578.5
275;Palestine;5532;Producer Price (USD/tonne);2022;USD;4167.3
275;Palestine;5532;Producer Price (USD/tonne);2022;USD;2839.2
591;Panama;5532;Producer Price (USD/tonne);2022;USD;4960.3
604;Peru;5532;Producer Price (USD/tonne);2022;USD;1651.6
608;Philippines;5532;Producer Price (USD/tonne);2022;USD;2769.8
616;Poland;5532;Producer Price (USD/tonne);2022;USD;1294.1
620;Portugal;5532;Producer Price (USD/tonne);2022;USD;1258.5
634;Qatar;5532;Producer Price (USD/tonne);2022;USD;3983.5
634;Qatar;5532;Producer Price (USD/tonne);2022;USD;3983.5
642;Romania;5532;Producer Price (USD/tonne);2022;USD;2339.8
642;Romania;5532;Producer Price (USD/tonne);2022;USD;1198.7
643;Russian Federation;5532;Producer Price (USD/tonne);2022;USD;1900.5
643;Russian Federation;5532;Producer Price (USD/tonne);2022;USD;1483.3
682;Saudi Arabia;5532;Producer Price (USD/tonne);2022;USD;5211.9
688;Serbia;5532;Producer Price (USD/tonne);2022;USD;1269.4
703;Slovakia;5532;Producer Price (USD/tonne);2022;USD;1227.9
705;Slovenia;5532;Producer Price (USD/tonne);2022;USD;1211.1
710;South Africa;5532;Producer Price (USD/tonne);2022;USD;1847.9
724;Spain;5532;Producer Price (USD/tonne);2022;USD;1405.2
724;Spain;5532;Producer Price (USD/tonne);2022;USD;1405.2
144;Sri Lanka;5532;Producer Price (USD/tonne);2022;USD;3083
144;Sri Lanka;5532;Producer Price (USD/tonne);2022;USD;3807.3
756;Switzerland;5532;Producer Price (USD/tonne);2022;USD;2718.8
764;Thailand;5532;Producer Price (USD/tonne);2022;USD;1254.9
788;Tunisia;5532;Producer Price (USD/tonne);2022;USD;1265.3
792;Türkiye;5532;Producer Price (USD/tonne);2022;USD;2803.2
840;United States of America;5532;Producer Price (USD/tonne);2022;USD;1873.9
860;Uzbekistan;5532;Producer Price (USD/tonne);2022;USD;3046
704;Viet Nam;5532;Producer Price (USD/tonne);2022;USD;4310.4
887;Yemen;5532;Producer Price (USD/tonne);2022;USD;2939.8
