Area,PIB par habitant,Population totale,Taux d'urbanisation,Taux de chômage,Taux d'inflation,Part des énergies renouvelables,Taux de mortalité infantile,Taux d'électrification
africa eastern and southern,1485.7535786147,632746570.0,35.3589006750633,7.12303202761926,6.39934341569381,61.8911318801459,46.4228525409571,40.199898068195
africa western and central,1590.5557849502,431138704.0,46.0394778242827,4.2041704106045,1.72548602374723,76.4130814959741,66.3046020873175,48.789457473528
arab world,6068.60300810316,423664839.0,58.3712899667064,11.0687158153229,2.06932928164433,4.37567300633967,26.8932613327717,90.6663018742983
caribbean small states,11576.2769685123,3016651.0,46.3201812314384,10.9611837901566,1.51820700736147,13.4630392156863,18.0515969842358,95.7430331185145
central europe and the baltics,14225.8773247545,102740078.0,62.2484547292635,5.29764711939543,2.0759355367385,16.4670211158335,4.44361397043801,99.86914260178
early-demographic dividend,3504.86445468793,3250752755.0,44.6614809641513,6.69497324765732,3.4653253940512,22.9318932699064,30.6039746395764,90.5262379043035
east asia & pacific,10454.5358035249,2327132966.0,58.197239072946,3.87116311350851,1.8003422246862,13.6095555971822,12.2,97.6980233866031
east asia & pacific (excluding high income),7151.27470673284,2080901482.0,54.6886447150072,3.91708260047549,2.91263557371478,15.194633216799,12.7182007085823,97.451742777989
east asia & pacific (ida & ibrd countries),7231.05858273787,2055414680.0,54.6023491585148,3.93193268866435,2.88291164981212,15.2141833608499,12.6888498696065,98.1128558182722
euro area,36878.9370566652,345370612.0,76.5295355740256,9.05337170464654,1.37503641525339,16.5895000626086,3.13355731698272,100.0
europe & central asia,23670.8127114864,914748588.0,72.0106051936005,7.43431878303094,1.95607633363963,12.9052522337975,7.5,99.9637094037616
europe & central asia (excluding high income),6111.39433717826,243006453.0,63.1056729336865,8.83451466806739,6.03183725177793,8.68153690303907,13.5116165637388,99.9183821940095
europe & central asia (ida & ibrd countries),8554.01109678492,457063732.0,66.152178203193,7.0241393717098,3.15318617485027,6.78336326599948,10.4856217176416,99.9272265326044
european union,33091.3890251906,446215182.0,74.3070266759772,8.1194012443605,1.42910743319306,17.6948545926672,3.41388757886702,99.9698703678352
fragile and conflict affected situations,1690.94404160881,916477490.0,42.5812352672813,5.8948327706098,3.48854825371271,58.4149495065343,56.0314246563809,54.5631752651004
heavily indebted poor countries (hipc),940.767399878295,770390212.0,35.612932485169,4.52973789368646,4.97595150553892,75.8548278612256,50.5533733947625,41.5183905621843
high income,38707.9315420479,1377929189.0,79.9807397087166,5.59048004106759,1.58734107634072,11.133700549377,4.5,99.9608075777366
ibrd only,6048.21917294317,4752675645.0,54.5232593884932,6.38365785226418,3.32817337461298,16.4245356938965,19.8616362126265,96.6140192932522
ida & ibrd total,4837.06302141945,6400602851.0,49.8368159142577,5.99271648498029,3.44637335032669,21.8896755439064,32.5963685184517,87.2637509200286
ida blend,1760.54249485162,549511044.0,41.6753097311307,4.33948088709596,1.14765339305816,60.3514227034789,61.2097818255852,71.9060547127056
ida only,1135.9391535687,1098416162.0,33.6158603467359,4.69410672669928,4.18072331871267,67.0471204885368,46.4992930994574,54.4361536322367
ida total,1344.21682075242,1647927206.0,36.3062552467525,4.58345571310177,3.73888388490667,63.756726238097,51.5284003610421,60.2679332649365
late-demographic dividend,9020.04276617454,2287248399.0,61.57383429688,5.26563670781674,2.17727572689263,14.4100287679332,8.79552182369123,99.2795749258714
latin america & caribbean,9256.11626423804,633795231.0,80.4143925872877,8.04964446167378,2.19201010962985,29.4019983736021,15.2,97.7135942305631
latin america & caribbean (excluding high income),8788.65434317749,570381211.0,79.8751638517647,8.23194430209279,3.27955694678546,30.656656872441,15.1308016805054,97.5717475090532
latin america & the caribbean (ida & ibrd countries),9110.90175054244,618155029.0,80.4039399496141,8.15207411416684,2.8227580554717,29.6360964977693,15.3784734592528,97.6667483687171
least developed countries: un classification,1026.5687075244,998532743.0,33.0977688989273,5.05965680278078,4.97595150553892,70.7237180071876,47.9787738113084,50.2107357057394
low & middle income,4528.2851864622,6168617518.0,48.9331576646829,6.00338296990549,3.66699702675925,23.7676399979481,33.1420170305948,86.565149962679
low income,654.651268016387,613946858.0,32.2565136562569,5.0892095856532,8.15686323403371,73.4896036079887,51.8,39.0805495764912
lower middle income,2018.06133276216,2821058566.0,37.9677198064037,6.22011004292745,3.52025688811617,40.1020091374381,39.1,84.7280368393812
middle east & north africa,7380.40569942152,456885486.0,64.711306676216,10.797465686371,1.58909413567799,1.58715383690058,18.6,97.6250026473811
middle east & north africa (excluding high income),3821.91888653613,391607422.0,60.9917609724414,12.7176995786461,4.32135218303191,2.49808095412844,20.0561109895791,97.2291081354939
middle east & north africa (ida & ibrd countries),3824.23813565368,387152617.0,60.8202870729607,12.5840105227982,4.81510028934517,2.45872573459995,20.1425864062097,97.1983752877486
middle income,4956.25071427331,5554670660.0,50.7769889420366,6.08859672281781,3.44637335032669,21.9573461951041,29.2456256949313,91.8152225396589
north america,58796.4689001287,361731076.0,81.9896400901813,4.58159619810452,1.86349706609478,11.3519352843397,5.6,100.0
not classified,,,,,,,,
oecd members,37576.6175060967,1346867182.0,80.3952503532275,5.90735032407124,1.82264336059063,12.8627670804176,6.28660396992457,99.9405764596022
other small states,13168.3078074236,13439650.0,58.1078653482792,8.21544312614478,1.76041559180596,31.5667678986818,27.5302016003281,90.4945894126707
pacific island small states,4142.26772455685,2484263.0,38.4685447800817,3.48418829093629,1.58394248575813,28.9625339366516,19.9014239701644,82.3564554155498
post-demographic dividend,43088.4274179433,1106262382.0,81.0982389144287,5.83639833337156,1.76264931892238,12.5593179241081,4.18395844881593,99.970583083607
pre-demographic dividend,1340.65197800485,905987912.0,40.8286445049975,5.46533363858061,4.97595150553892,73.3281439587563,57.2040240457612,44.3204552949929
small states,11730.8818238776,18940564.0,53.6545361595885,8.09252205807457,1.63405189110426,28.9203745003156,24.7331673480349,90.2630998844596
south asia,1887.87828259142,1818931519.0,33.5786134423552,6.95480348947292,4.52022867508868,34.6387159666426,37.5,91.6760241733433
south asia (ida & ibrd),1887.87828259142,1818931519.0,33.5786134423552,6.95480348947292,4.52022867508868,34.6387159666426,37.5007588027671,91.6760241733433
sub-saharan africa,1528.22459360107,1063885274.0,39.6871965003954,6.0446244692085,5.19698185340168,68.2152028750416,54.9,43.6808105316438
sub-saharan africa (excluding high income),1526.78737212966,1063789431.0,39.685703269684,6.0446244692085,5.20971705914209,68.2327658226119,54.8783733353744,43.675736407086
sub-saharan africa (ida & ibrd countries),1528.22459360107,1063885274.0,39.6871965003954,6.0446244692085,5.19698185340168,68.2152028750416,54.8764370443518,43.6808105316439
upper middle income,7988.4308620841,2733612094.0,64.0046847594259,5.98707050154594,3.39697584895255,15.1736398448485,11.7,99.1339177479467
world,10762.8045848545,7577110140.0,54.7388680161327,5.91614141999205,2.25427651934813,17.9191918096439,30.2,89.0186672372511
afghanistan,526.140801025756,35643418.0,25.25,11.184,4.97595150553892,19.5,51.5,97.7
albania,4531.03220675893,2873457.0,59.383,13.616,1.98666133171199,36.9,8.3,99.9
algeria,4615.86874364885,41136546.0,72.052,12.0,5.59111590961664,0.1,21.0,99.5
american samoa,12372.8847825647,49463.0,87.17,,,0.3,,
andorra,40632.2315521995,73837.0,88.15,,,18.0,3.1,100.0
angola,2439.37443934002,30208628.0,64.839,16.617,29.8444799015679,52.5,53.4,42.9
antigua and barbuda,16803.8702340001,91119.0,24.713,,2.43248789041363,0.4,9.0,100.0
argentina,14613.0356486571,44044811.0,91.749,8.347,,10.4,9.8,100.0
armenia,4041.99507105058,2851923.0,63.103,12.968,0.969553268816138,12.6,11.7,99.7
aruba,29329.0817465959,105439.0,43.293,,-1.02828178762012,6.8,,100.0
australia,53954.553494614,24592588.0,85.904,5.592,1.94864740944527,9.9,3.2,100.0
austria,47429.1584564387,8797566.0,58.094,5.561,2.08126911385587,34.0,3.0,100.0
azerbaijan,4147.1981423222,9854033.0,55.343,5.0,12.9359184187335,1.9,20.6,100.0
"bahamas, the",30666.8838654704,399020.0,82.925,9.8,1.51820700736147,1.1,11.8,100.0
bahrain,24315.4975906804,1456834.0,89.186,1.196,1.38671830576406,0.0,6.2,100.0
bangladesh,1815.47222007199,161793964.0,35.858,4.372,5.70207015717239,28.1,28.9,88.0
barbados,17910.7830952014,279187.0,31.159,8.622,4.66018463955996,4.3,11.7,100.0
belarus,5785.53397723676,9458989.0,78.134,5.648,6.03183725177793,7.3,2.7,98.7
belgium,44198.4823908691,11375158.0,97.961,7.086,2.12597086002607,9.7,3.3,100.0
belize,6049.3919477765,374693.0,45.601,6.596,1.14765339305816,37.2,12.2,94.2
benin,1095.27445827386,11596779.0,46.768,1.722,0.0432648555103608,45.4,60.5,34.5
bermuda,111820.581466347,63873.0,100.0,,,0.6,,100.0
bhutan,3427.17384540098,756121.0,40.167,3.039,4.95508366985129,79.7,23.6,97.7
bolivia,3280.0082139387,11435533.0,69.08,3.655,2.8227580554717,14.3,23.6,91.8
bosnia and herzegovina,5327.39230422044,3440027.0,47.876,20.527,,18.5,5.5,100.0
botswana,6705.34084567283,2401840.0,68.7,19.678,3.30828076768219,26.7,35.4,67.4
brazil,9896.71889500528,208504960.0,86.309,12.792,3.44637335032669,45.3,13.7,99.8
british virgin islands,,30060.0,47.337,,,1.1,13.1,100.0
brunei darussalam,28186.9867351423,430276.0,77.312,9.316,-1.2605056462896,0.0,8.6,100.0
bulgaria,8381.88134621669,7075947.0,74.669,6.164,2.06159619443141,17.1,6.1,98.1
burkina faso,711.184543433623,19835858.0,28.743,4.66,1.48299897161325,74.6,56.5,17.0
burundi,244.14542219677,11155593.0,12.706,1.258,16.0525353030392,88.2,42.5,9.3
cabo verde,3534.34357478817,564954.0,65.261,12.24,0.784415251101334,21.8,13.7,88.6
cambodia,1400.89926522987,15830689.0,22.98,0.141,2.91263557371478,56.3,24.7,89.1
cameroon,1479.86222292144,24393181.0,55.777,3.581,0.64040914988195,79.2,54.3,60.9
canada,45129.628116623,36545075.0,81.35,6.426,1.59688412852977,22.8,4.6,100.0
cayman islands,81255.1122691866,63581.0,100.0,,,0.0,,100.0
central african republic,414.74032227842,4996741.0,40.98,5.969,4.18072331871267,91.6,81.2,14.1
chad,662.897472963315,15085884.0,22.858,1.116,-1.53709962980849,72.8,72.4,10.9
channel islands,54904.0996682551,165215.0,30.914,6.865,,,,100.0
chile,15034.0584350711,18368577.0,87.49,7.29,2.18271846868519,24.1,6.6,99.7
china,8817.04560829162,1396215000.0,57.96,4.47,1.59313600071436,13.1,7.0,100.0
colombia,6449.97098770131,48351671.0,80.446,9.086,4.31431325695011,32.2,12.6,98.5
comoros,1414.58668992431,761664.0,28.784,5.04,,59.5,44.3,78.7
"congo, dem. rep.",451.089088517319,84283273.0,43.88,4.637,,96.7,69.1,18.0
"congo, rep.",2227.7326089376,5312340.0,66.459,20.887,0.450063823285546,69.8,35.7,46.2
costa rica,12118.1336248174,4993842.0,78.56,7.729,1.62590692991732,33.3,7.5,99.6
cote d'ivoire,2113.34152379369,24848016.0,50.326,3.273,0.685881065304603,62.5,60.0,65.6
croatia,13655.4798216229,4124531.0,56.667,11.208,1.12937210282347,29.8,4.1,100.0
cuba,8543.33006731328,11336405.0,76.977,1.7,,22.0,5.0,99.4
curacao,18938.2440469703,160175.0,89.203,,1.58558801700345,1.9,,100.0
cyprus,26697.005859375,1208523.0,66.836,11.155,0.531766496174467,10.9,2.4,100.0
czechia,20636.199952435,10594438.0,73.675,2.893,2.4505339846014,14.5,2.6,100.0
denmark,57610.0981801135,5764980.0,87.757,5.833,1.14713216957602,35.0,3.4,100.0
djibouti,2655.73321960188,1040233.0,77.648,26.064,0.568112117084804,23.3,51.0,60.2
dominica,7408.09130082314,70403.0,70.181,,0.296252889279487,9.7,27.3,98.9
dominican republic,7513.49798180543,10647244.0,80.277,5.832,3.27955694678546,16.9,28.8,100.0
ecuador,6256.68301935971,16696944.0,63.67,3.836,0.417335588666825,17.0,12.4,99.2
"egypt, arab rep.",2439.96728439968,101789386.0,42.705,11.767,29.5066083940039,4.9,18.4,100.0
el salvador,3986.04901435439,6266654.0,71.275,4.385,1.0123540331558,25.0,12.2,96.8
equatorial guinea,8410.39797433692,1450694.0,71.646,8.329,0.74435474661241,5.0,64.0,66.4
eritrea,,3396933.0,39.451,5.879,,81.6,32.2,48.0
estonia,20437.765376736,1317384.0,68.717,5.807,3.41723549488054,27.5,2.1,100.0
eswatini,3824.04678338499,1151390.0,23.625,24.83,6.22137528933118,65.3,48.2,73.5
ethiopia,755.752644348666,108197950.0,20.31,2.678,10.6871150284238,90.8,40.1,44.3
faroe islands,59328.2376643374,50230.0,41.914,,,6.0,,100.0
fiji,5825.19966886254,919019.0,55.742,4.328,3.3475783475784,28.6,19.5,96.0
finland,46412.1364777169,5508214.0,85.325,8.64,0.754015047084346,44.4,1.9,100.0
france,38781.0494870836,66918020.0,80.18,9.41,1.03228275064662,14.1,3.3,100.0
french polynesia,19743.9590211525,295450.0,61.784,11.554,,8.1,,100.0
gabon,6975.69519191402,2140215.0,88.976,20.351,2.65192583143902,90.2,33.4,86.3
"gambia, the",632.001024153219,2381182.0,60.599,5.162,8.03418974545911,48.0,37.4,56.2
georgia,4418.75206546679,3728004.0,58.231,13.939,6.03531725272117,27.5,8.9,100.0
germany,44652.5891722719,82657002.0,77.261,3.746,1.50949485109628,15.2,3.2,100.0
ghana,1998.72279840363,30222262.0,55.407,3.369,12.3719215507048,45.3,36.6,79.0
gibraltar,,32602.0,100.0,,,0.0,,100.0
greece,18582.0893411631,10754679.0,78.724,21.414,1.12125452031419,16.4,3.6,100.0
greenland,50765.7494665372,56172.0,86.574,,,11.3,,100.0
grenada,9309.26129609568,120921.0,36.164,,0.908458255874249,10.2,13.7,92.2
guam,35663.0250406273,168606.0,94.699,5.417,,3.9,,100.0
guatemala,4454.02450948165,16087418.0,50.68,2.462,4.42453655182546,65.0,22.2,93.3
guinea,843.464279230956,12240789.0,35.793,4.815,8.91435947913097,72.0,69.0,35.4
guinea-bissau,781.975888258504,1879826.0,42.945,3.137,1.69111461822289,86.8,56.4,26.0
guyana,6220.97856820609,763252.0,26.538,13.813,1.90465615515584,22.1,25.9,90.0
haiti,1389.35862463561,10863543.0,54.346,13.929,10.6800887242584,76.2,50.2,43.3
honduras,2403.30608839303,9626842.0,56.457,5.528,3.93436084442044,45.6,16.3,86.5
"hong kong sar, china",46160.429791493,7393200.0,100.0,3.124,1.49387243939522,0.2,,100.0
hungary,14621.2395956755,9787966.0,71.062,4.156,2.34824281150154,14.6,3.8,100.0
iceland,72010.1490316258,343400.0,93.773,2.742,1.76041559180596,80.8,2.1,100.0
india,1957.96981331058,1354195680.0,33.6,7.723,3.32817337461298,32.5,32.9,91.8
indonesia,3839.78507460491,264498852.0,54.659,3.783,3.80879806953157,25.2,21.5,98.1
"iran, islamic rep.",5758.59072766807,84505076.0,74.394,12.232,8.04492437660278,1.0,12.3,99.9
iraq,4725.19357334032,39621162.0,70.278,13.02,0.18405889884769,0.5,23.2,99.9
ireland,70150.7370157965,4807388.0,62.947,6.713,0.362173038229378,10.1,3.0,100.0
isle of man,83510.2696040057,83580.0,52.458,,,1.9,,100.0
israel,41114.7817082553,8713300.0,92.336,4.14,0.25941497450575,3.9,3.0,100.0
italy,32406.7203150134,60536709.0,70.144,11.211,1.22653316645812,16.4,2.8,100.0
jamaica,5273.1490130852,2808376.0,55.378,7.399,4.37839864991561,11.0,16.0,97.4
japan,38834.0529341227,126972000.0,91.535,2.822,0.484199796126385,6.9,1.9,100.0
jordan,4073.11640314668,10215381.0,90.747,18.12,3.32389447576097,5.3,14.2,100.0
kazakhstan,9247.58067886159,18037776.0,57.336,4.9,7.44266321306792,2.0,9.4,100.0
kenya,1675.98842173012,48948137.0,26.562,3.54,8.00564967709945,68.1,33.4,55.8
kiribati,1852.99234427752,120362.0,53.262,,0.355520888546828,42.5,46.3,85.7
"korea, dem. people's rep.",,25516321.0,61.678,2.846,,10.2,15.3,44.2
"korea, rep.",31600.7358741365,51361911.0,81.503,3.653,1.94433230786366,2.8,2.8,100.0
kosovo,4009.3538108854,1791003.0,,,1.48823430592319,,11.4,
kuwait,29258.266295535,4124904.0,100.0,2.223,2.17183298510006,0.0,7.6,100.0
kyrgyz republic,1242.77022029305,6198200.0,36.135,3.568,3.1753098637994,24.7,17.8,100.0
lao pdr,2439.46241167184,6997917.0,34.368,3.269,0.825478607568026,50.6,38.6,93.6
latvia,15695.1151541059,1942248.0,68.075,8.715,2.93036312374665,42.6,3.8,100.0
lebanon,8679.89742212366,6109252.0,88.429,10.236,4.32135218303191,4.0,11.6,99.9
lesotho,1062.71243340258,2170617.0,27.73,16.391,4.447699373763,41.5,62.4,33.7
liberia,706.892691974846,4796631.0,50.697,3.066,12.4196323907137,93.6,62.0,24.2
libya,10529.1163503303,6378261.0,79.817,19.015,25.8036184788338,2.9,10.5,70.6
liechtenstein,170875.682067431,37889.0,14.315,,,55.3,,100.0
lithuania,16885.4073948373,2828403.0,67.516,7.073,3.72288862303707,33.8,3.5,100.0
luxembourg,110193.213797228,596336.0,90.727,5.522,1.73079959118887,15.3,2.2,100.0
"macao sar, china",78896.2747485132,638609.0,100.0,1.987,1.22812404052801,3.9,,100.0
madagascar,503.498058680237,26169542.0,36.522,2.113,8.60905075422949,81.9,45.1,24.1
malawi,500.165547203323,17881167.0,16.714,5.033,11.5433939188771,76.9,35.3,12.7
malaysia,9979.70447282371,31975806.0,75.447,3.41,3.87120115774237,5.2,7.0,100.0
maldives,10194.746141387,472442.0,39.38,5.376,2.81747338234509,1.3,7.1,99.8
mali,795.682801553765,19311355.0,41.572,1.494,1.75985742927156,77.0,67.1,34.8
malta,28813.1853396512,467999.0,94.546,4.008,1.36435448150708,7.3,5.6,100.0
marshall islands,4512.59276329667,47187.0,76.634,,,12.0,27.8,93.8
mauritania,1634.64215833074,4160015.0,52.824,10.336,2.25427651934813,25.5,35.6,42.9
mauritius,10841.6847754844,1264887.0,40.841,6.752,3.66699702675925,9.4,13.3,99.6
mexico,9693.33009082487,122839258.0,79.867,3.419,6.04145724018986,10.1,13.1,100.0
"micronesia, fed. sts.",3250.9281898035,110430.0,22.608,,0.58225373525489,1.7,23.9,76.5
moldova,3453.26727720294,2755189.0,42.557,1.622,6.57022997455597,26.1,13.0,100.0
monaco,173611.687859934,37044.0,100.0,,,,2.7,100.0
mongolia,3708.24822134669,3096030.0,68.363,6.359,4.30143105302342,1.8,15.0,93.6
montenegro,7803.35824465203,622373.0,66.477,16.082,2.3802359905313,37.8,3.1,100.0
morocco,3288.50268554688,35528115.0,61.908,9.229,0.754663249323619,10.4,18.2,100.0
mozambique,464.294721264472,28569441.0,35.455,3.543,15.1132073899384,78.2,55.7,24.3
myanmar,1263.24605485191,52288341.0,30.322,1.356,4.5725365531752,59.5,37.9,69.8
namibia,5453.57062341501,2364534.0,49.005,21.739,6.14579981111164,30.2,31.7,52.5
nauru,9361.03739658919,11682.0,100.0,,,0.6,25.9,99.8
nepal,1027.96547660189,28183426.0,19.336,10.66,3.62709610696607,76.8,28.4,86.6
netherlands,48675.2223350213,17131296.0,91.077,4.839,1.38145871407206,6.4,3.5,100.0
new caledonia,33876.3290941463,270810.0,70.256,11.676,,5.1,,100.0
new zealand,42913.186956185,4813600.0,86.466,4.736,1.85078767452536,28.4,4.3,100.0
nicaragua,2127.28572022576,6480532.0,58.299,3.3,3.85067166284727,48.9,15.4,84.6
niger,514.543398016347,21737922.0,16.35,0.564,2.79637318871275,82.0,62.7,17.6
nigeria,1941.87947889475,193495907.0,49.519,4.826,16.5022662139641,81.6,77.0,54.4
north macedonia,5955.2973863451,1898657.0,57.748,22.857,1.35161889677442,19.0,8.4,100.0
northern mariana islands,30751.6410731534,50729.0,91.53,,,0.0,,100.0
norway,76131.8384032764,5276968.0,81.871,4.162,1.87510059552554,58.9,2.1,100.0
oman,17802.5751178049,4541854.0,83.56,2.524,1.58909413567799,0.0,9.5,100.0
pakistan,1567.6406123353,216379655.0,36.442,3.193,4.08537368032608,42.1,58.9,92.7
palau,16389.8505443828,17837.0,79.365,,1.4179881966692,0.6,22.3,100.0
panama,15185.9724813803,4096063.0,67.365,5.395,0.875585918759878,23.6,14.5,93.7
papua new guinea,2495.14077312932,9114796.0,13.102,2.544,5.42204568023834,54.7,38.4,19.2
paraguay,6136.0583014952,6355404.0,61.3,6.138,3.60247741348943,60.1,17.7,99.3
peru,6676.30879274916,31605486.0,77.72,3.691,2.99490045809443,27.6,12.8,94.8
philippines,3077.43441889625,106738501.0,46.682,2.552,2.85318772590947,27.8,22.1,93.0
poland,13815.501164767,37974826.0,60.105,4.888,2.0759355367385,11.1,4.0,100.0
portugal,21490.429863104,10300300.0,64.652,8.869,1.36861411643472,24.4,2.9,100.0
puerto rico,31108.7527508912,3325286.0,93.587,10.8,,2.3,,100.0
qatar,59407.6980498883,2711755.0,99.078,0.14,0.394878914083005,0.1,6.0,100.0
romania,10727.9708633184,19588715.0,53.936,4.927,1.3390212110439,23.4,6.5,100.0
russian federation,10658.9130859375,145293260.0,74.292,5.212,3.68332944412253,3.2,5.5,100.0
rwanda,756.547641107379,12230339.0,17.125,11.875,8.27953672260832,84.5,33.0,34.1
samoa,4261.64034322214,207630.0,18.452,9.4,1.74989677484705,35.8,15.6,96.8
san marino,44885.517837773,34056.0,97.072,,1.04597683468917,,1.6,100.0
sao tome and principe,1547.82270967205,208036.0,71.968,13.811,5.6902961992902,39.2,15.4,74.3
saudi arabia,20910.4821334146,34193122.0,83.622,5.89,-0.838194579675018,0.0,6.9,100.0
senegal,1385.1992136057,15157793.0,46.74,4.078,1.3181531484778,36.8,33.0,61.7
serbia,6292.5465490011,7020858.0,55.942,13.477,3.13106248590115,20.0,5.1,100.0
seychelles,17480.3651911372,95843.0,56.261,,2.85679575568496,1.2,12.7,100.0
sierra leone,484.456128767591,7677565.0,41.636,3.848,18.2215094003386,74.6,87.4,23.4
singapore,61162.0973932771,5612253.0,100.0,4.2,0.576260310166349,0.7,2.1,100.0
sint maarten (dutch part),35043.6908689636,38615.0,100.0,,2.19201010962985,0.0,,100.0
slovak republic,17585.197002257,5439232.0,53.751,8.142,1.31194588223228,12.4,5.0,100.0
slovenia,23514.0254604147,2066388.0,54.273,6.573,1.42910743319306,19.7,2.0,100.0
solomon islands,2283.57905127379,643634.0,23.286,0.727,0.488686760261083,49.0,18.3,62.9
somalia,555.185123613069,14864221.0,44.391,18.545,,94.9,78.1,52.1
south africa,6734.47515312493,56641209.0,65.85,23.992,5.18424664766128,7.9,28.9,84.4
south sudan,,10658226.0,19.346,13.079,187.851630279442,35.1,63.8,4.2
spain,28185.3213671969,46593236.0,80.08,17.224,1.95607633363963,15.2,2.7,100.0
sri lanka,4388.20190593728,21506813.0,18.384,4.046,7.70413767850602,45.8,6.8,97.5
st. kitts and nevis,22119.4470603281,47785.0,30.773,,0.694916711613604,1.3,15.2,100.0
st. lucia,11280.5930341194,177163.0,18.612,19.136,0.104262078958441,10.2,16.2,99.9
st. martin (french part),,34496.0,,,,,,100.0
st. vincent and the grenadines,7996.67207402003,105549.0,51.784,18.988,2.15333648840511,5.3,13.4,100.0
sudan,1014.84246826172,40679828.0,34.37,13.206,32.3516260968437,59.4,42.3,53.0
suriname,6112.88301430134,587559.0,66.041,7.883,21.9969430173304,15.5,17.3,96.6
sweden,53791.5087298403,10057698.0,87.146,6.718,1.79449904665589,51.8,2.3,100.0
switzerland,82254.3769269767,8451840.0,73.761,4.797,0.533787839825897,25.0,3.6,100.0
syrian arab republic,862.325327610986,18983373.0,53.5,13.67,,1.1,24.4,89.6
tajikistan,844.365216932115,8925525.0,26.982,6.9,,44.2,31.1,99.3
tanzania,975.904663085938,56267032.0,33.053,2.313,5.31871605228931,82.0,36.1,32.1
thailand,6436.78965986703,70898202.0,49.2,0.83,0.665631893135106,22.2,8.3,99.9
timor-leste,1285.5239757568,1243235.0,30.212,4.212,0.52297668038404,13.2,48.6,79.5
togo,813.394787167149,7852795.0,41.162,3.744,-0.981889868943119,78.4,48.1,48.0
tonga,4367.25660339844,105415.0,23.169,2.132,7.51706283551115,2.0,10.5,98.2
trinidad and tobago,16258.7489291438,1478607.0,53.205,3.385,1.88038440183532,0.4,16.2,100.0
tunisia,3569.71883883673,11811443.0,68.642,15.33,5.30884839565844,11.8,14.0,100.0
turkiye,10695.550196231,80312698.0,74.644,10.919,11.1443110840765,11.4,10.4,100.0
turkmenistan,6354.53282979422,5968383.0,51.153,4.045,,0.1,37.3,100.0
turks and caicos islands,25824.2561790985,39844.0,92.817,,,0.3,4.6,100.0
tuvalu,4181.43658600984,10828.0,61.53,,,7.0,20.5,98.7
uganda,766.177604015442,40127085.0,23.196,3.643,5.20971705914209,91.3,35.9,32.4
ukraine,2638.32543945313,44880758.0,69.246,9.5,14.4383227488749,6.5,7.6,100.0
united arab emirates,43063.9674785596,9068296.0,86.248,2.462,1.9668255781886,0.2,5.6,100.0
united kingdom,40572.1214823783,66058859.0,83.143,4.33,2.55775577557747,8.8,3.8,100.0
united states,60322.2614241747,325122128.0,82.058,4.355,2.1301100036598,9.7,5.6,100.0
uruguay,18995.3970195554,3422200.0,95.24,7.89,6.2180938256186,60.8,6.8,99.8
uzbekistan,1916.76462520814,32388600.0,50.55,5.83,13.8757425441634,1.7,15.5,100.0
vanuatu,3032.19702965604,290239.0,25.163,5.288,3.08452624403546,35.7,17.5,62.8
"venezuela, rb",,30563433.0,88.183,5.045,,14.3,21.2,99.2
viet nam,2992.07153198845,94033048.0,35.213,1.874,3.52025688811617,28.3,17.2,100.0
virgin islands (u.s.),35365.0693039774,107281.0,95.603,11.955,,5.3,,100.0
west bank and gaza,3620.36048715937,4454805.0,75.894,25.677,0.212570934228881,10.5,14.7,99.9
"yemen, rep.",893.716500927815,30034389.0,36.016,18.564,,3.0,36.8,79.2
zambia,1495.75213841021,17298054.0,42.976,8.518,6.57731154205644,83.5,44.0,40.3
zimbabwe,1192.10701198862,14751101.0,32.237,6.347,0.893962316050027,82.0,39.2,44.0
